step,strain,stress
reloading2,0.0216321394,612.4418766515
reloading2,0.0218365675,643.9194016272
reloading2,0.0219911509,676.2980156156
reloading2,0.0221958379,709.5746114131
reloading2,0.0225002144,741.0490291853
reloading2,0.0226045646,771.6301259536
reloading2,0.0229090706,804.0040791367
reloading2,0.0230635245,835.4831577142
reloading2,0.0233179268,866.9591290881
reloading2,0.023572588,900.234171284
reloading2,0.0239270681,932.6065708654
reloading2,0.0241314962,964.0840958411
reloading2,0.0244857174,994.6574246006
reloading2,0.0251396543,1024.3218963387
loading3,0.0262425821,1048.5751731955
loading3,0.0280425592,1054.8159914092
loading3,0.0298421478,1058.3582033901
loading3,0.0315922802,1065.5001106165
loading3,0.0333421536,1070.8429470209
unloading3,0.0347912757,1069.8983571594
unloading3,0.0346866665,1037.5181895693
unloading3,0.0344823679,1006.9402000045
unloading3,0.0342778103,974.5631396178
unloading3,0.0340735117,943.9851500531
unloading3,0.0337687468,909.8121260481
unloading3,0.0337643449,879.2279220763
unloading3,0.0335099426,847.7519507024
unloading3,0.0334054629,816.2713185232
unloading3,0.0332506206,782.0936337129
unloading3,0.0330964256,752.4136259573
unloading3,0.0329419717,720.9345473799
unloading3,0.032787,685.8573271587
unloading3,0.0325827013,655.2793375939
unloading3,0.0323781438,622.9022772073
unloading3,0.0321238709,592.3258412443
unloading3,0.0318694687,560.8498698703
unloading3,0.0319146526,527.565506064
unloading3,0.0316603798,496.989070101
unloading3,0.0314555633,462.8129388925
unloading3,0.0313011094,431.333860315
unloading3,0.0310467071,399.8578889411
unloading3,0.0308917353,364.7806687199
unloading3,0.030637333,333.304697346
unloading3,0.0304331638,303.6262431921
unloading3,0.0302284768,270.3496473945
unloading3,0.0300738934,237.9710334062
unloading3,0.0298695948,207.3930438414
unloading3,0.0296150631,175.0175370565
unloading3,0.0293106866,143.5431192843
unloading3,0.0290060512,110.2696306902
unloading3,0.0287517784,79.6931947272
unloading3,0.0283975572,49.1198659677
unloading3,0.0278934134,18.5511980134
reloading3,0.0278960027,36.5419062321
reloading3,0.0281004308,68.0194312078
reloading3,0.0282548847,99.4985097852
reloading3,0.0284093386,130.9775883627
reloading3,0.0286638704,163.3530951475
reloading3,0.0289184021,195.7286019324
reloading3,0.0289230629,228.1118767261
reloading3,0.0290775169,259.5909553035
reloading3,0.0292318413,290.17049847
reloading3,0.0293864247,322.5491124584
reloading3,0.0295411375,355.8272618577
reloading3,0.0297955398,387.3032332317
reloading3,0.0299999679,418.7807582074
reloading3,0.0300544734,450.2629439883
reloading3,0.0302093157,484.4406287986
reloading3,0.0304638475,516.8161355834
reloading3,0.0307185087,550.0911777793
reloading3,0.0308730921,582.4697917677
reloading3,0.0309777013,614.8499593578
reloading3,0.0312818188,644.5253063081
reloading3,0.0314863764,676.9023666948
reloading3,0.0316909339,709.2794270814
reloading3,0.0318451289,738.959434837
reloading3,0.0319998417,772.2375842363
reloading3,0.0324042961,804.6084302159
reloading3,0.0325089052,836.9885978061
reloading3,0.0327631781,867.5650337691
reloading3,0.033067684,899.9389869522
reloading3,0.0332722416,932.3160473389
reloading3,0.0335767475,964.690000522
reloading3,0.0339310982,996.1628646925
reloading3,0.0341355263,1027.6403896682
reloading3,0.0346914568,1070.8009997738
loading4,0.0352436327,1087.8750829623
loading4,0.0370436098,1094.115901176
loading4,0.0388922664,1091.3598116786
loading4,0.0406417515,1094.0040418503
loading4,0.0423918838,1101.1459490767
loading4,0.0442417056,1106.4856782777
unloading4,0.0445907482,1101.0775905998
unloading4,0.0444374595,1077.6943307208
unloading4,0.0443325913,1043.5150923088
unloading4,0.0439280075,1010.2447109182
unloading4,0.0436741231,982.366881188
unloading4,0.0437191776,948.1829819708
unloading4,0.0434146716,915.8090287876
unloading4,0.0432604767,886.129021032
unloading4,0.0431057638,852.8508716327
unloading4,0.0429511804,820.4722576443
unloading4,0.0428465713,788.0920900542
unloading4,0.0426424021,758.4136359004
unloading4,0.0423874819,723.3395228827
unloading4,0.0422832612,693.6579615254
unloading4,0.0420788331,662.1804365497
